generation(kWh),power(W)
0.006,34.09087
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.011,101.27505
0.103,474.4382
0.204,818.5629
0.344,1517.8066
0.641,2643.1099
0.969,4031.9731
1.304,5234.9355
1.638,6610.8623
1.97,7854.818
2.291,9090.791
2.604,10340.272
2.981,11856.291
3.481,13881.059
3.869,16135.902
2.864,8100.5605
1.713,6218.199
3.837,17806.842
2.933,9620.467
0.947,3501.8345
1.341,5626.2944
1.61,6295.6133
1.73,6855.3394
3.428,17645.654
3.643,11069.35
1.503,5116.646
1.022,4161.5938
1.739,7346.7344
2.233,8693.139
2.41,9556.927
2.648,10285.499
2.681,10743.473
3.504,13467.404
2.927,11072.203
2.743,10678.146
2.775,10717.564
2.688,10194.363
2.711,10915.4375
3.03,12037.686
3.681,13892.215
3.574,13721.014
2.931,10240
2.749,10441.104
2.479,9361.822
2.057,7775.686
1.692,6490.203
1.404,5193.7095
0.99,3539.6448
0.502,1666.2051
0.296,1114.4878
0.198,700.89136
0.114,412.30338
0.05,134.65926
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.014,62.7832
0.085,392.12344
0.312,1272.0472
0.419,1756.2305
0.524,1919.5791
0.43,1828.2493
0.416,1421.2845
0.756,3573.806
1.302,4893.4414
1.374,5306.254
1.474,5763.2065
1.006,3635.0823
1.666,6933.635
1.753,7156.4795
3.19,12798.119
2.929,10229.501
1.995,7505.842
1.546,6380.029
2.422,10129.48
4.23,17824.89
4.786,16300.801
4.416,15911.564
4.28,17779.424
5.028,17574.334
4.357,15873.697
5.729,25836.393
5.862,17634.926
5.54,18248.156
6.314,25553.22
5.45,21666.617
6.094,22741.707
4.514,14815.553
4.128,12175.332
4.6,18435.371
3.737,12373.148
2.767,8318.198
2.052,8700.249
2.552,11196.949
2.248,7798.7534
1.62,6421.6797
1.502,7725.354
1.181,3927.6455
1.367,5963.471
0.659,2476.0925
0.743,2746.3748
0.662,2838.3533
0.454,1795.8704
0.307,954.54047
0.148,623.22675
0.082,225.8548
0,9.640616
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
