generation(kWh),power(W)
0,0
0,0
0,0
0,0
0,0
0,0
0.058,309.66666
0.179,848
0.753,3428.6667
0.998,4318.3335
1.577,5077.3335
1.472,7158
2.365,10187
1.714,7243.3335
3.555,15359.333
5.297,20951.666
6.008,23686.666
4.739,19597
5.62,19611
4.727,17165.334
6.272,20246
6.155,25945
6.157,11631.333
3.551,12150.667
4.139,12810
3.98,9563
6.183,27962
5.477,10988.667
7.403,33956.668
5.427,14112.667
7.778,41353.332
10.382,40859.332
8.639,33634.668
8.682,25691.334
10.181,41031.332
10.349,43090.332
7.791,25837.334
8.856,34106.332
10.167,37812.332
9.904,37540
8.57,26417.666
7.068,26131
5.71,18476
4.334,12791.667
1.015,4158
0.968,3787.6667
1.363,5575.3335
1.671,6618.6665
1.545,5645.3335
1.3,5282.6665
1.726,6986.6665
2.007,7772
1.829,6880
1.565,5970.3335
1.132,3637.3333
0.369,1605.6666
0.33,1153.3334
0.098,268.33334
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.065,392.33334
0.517,2360
0.68,3039.6667
1.666,6922.6665
2.745,9820.333
0.704,3275.6667
2.256,8929.333
3.504,10930.333
4.552,12301.667
3.76,15545.333
4.218,19885.334
3.984,15978.667
5.457,17112.334
4.599,24740.666
8.336,31686
8.711,34991.668
9.007,36317
9.246,36788.668
8.155,30457
7.599,26783.334
6.518,26843
6.61,31547.666
7.735,14821.667
7.979,36784.332
7.731,23559.666
8.988,30411.666
7.089,25773
5.517,14571
3.93,16477.334
7.551,28482.666
6.692,18707
7.481,29841.334
8.437,24395.334
7.486,19129.334
3.77,15620
2.178,6632
2.763,9000
8.645,34295
6.004,31249.334
7.226,26832.334
2.849,6553.6665
1.186,5193
1.524,4605
1.251,10177.333
1.365,5315.3335
1.191,3983
0.382,1379.6666
0.267,925.6667
0.193,857
0.3,1055.6666
0.062,127.666664
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.003,59.333332
0.134,679
0.403,1735.6666
0.605,2555
0.879,3739.6667
1.94,8451.667
2.283,10539.667
2.266,6678
2.081,10057
4.457,17846
